Project,Task,Team,Start Date,Duration,End Date,Day Completed,Completion PCT
Pre Install,Final Engineering and Procurement,Duane,9/23/24,5,9/28/24,0,0.00%
Pre Install,Approvals,Stack Street,9/27/24,1,9/28/24,0,0.00%
Holiday,Rosh Hoshanah - Closed No Work,Stack Street,10/3/24,2,10/5/24,0,0.00%
Pre Install,Site Prep,Subcontractors,10/7/24,3,10/10/24,0,0.00%
Afterburner,Mobilization,Duane,10/13/24,1,10/14/24,0,0.00%
Holiday,Yom Kippur - Closed No Work,Stack Street,10/11/24,2,10/13/24,0,0.00%
Afterburner,Installation,Duane,10/14/24,4,10/18/24,0,0.00%
Afterburner,Overflow + Green Bean Modifications,Duane,10/21/24,4,10/25/24,0,0.00%
Roaster,Load out Truck #1 ( Roaster Body + Recirculating System),Duane,10/26/24,1,10/27/24,0,0.00%
Roaster,Unload Truck #1 ( Roaster Body + Recirculating System),Duane,10/27/24,1,10/28/24,0,0.00%
Roaster,Installation (Roaster Body + Recirculating System),Duane,10/28/24,4,11/1/24,0,0.00%
Roaster,Load out Truck #2 ( Cooler Stoner System),Duane,11/2/24,1,11/3/24,0,0.00%
Roaster,Unload Truck #1 ( Roaster Body + Recirculating System),Duane,11/3/24,1,11/4/24,0,0.00%
Roaster,Installation (Cooler Stoner System),Duane,11/4/24,4,11/8/24,0,0.00%
Roaster,Electric and plumbing Tie-ins,Duane,11/11/24,4,11/15/24,0,0.00%
Roaster,Start-up,Duane,11/18/24,5,11/23/24,0,0.00%
Roaster,Project Overflow,Duane,11/25/24,2,11/27/24,0,0.00%
Holiday,Thanksgiving,Duane,11/28/24,2,11/30/24,0,0.00%
Stack Street,K Cup Machine Install,Duane,12/1/24,10,12/11/24,0,0.00%
